Date,Time,PID,TID,Level,Tag,Message
11-06,12:02:37.309,1191,1254,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 9"" 480 x 938 modeId 2390 defaultModeId 2390 supportedModes [{id=2390 width=480 height=938 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:37.310,1191,1254,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1442
11-06,12:02:37.758,1191,4329,I,ActivityTaskManager,ActivityTaskManager:  START u0 {act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10010000 pkg=com.roblox.client cmp=com.roblox.client/.startup.ActivitySplash (has extras)} from uid 10037
11-06,12:02:37.762,1191,4329,V,Vr2dDisplayResolver,Vr2dDisplayResolver:  No display resolution needed for immersive activity ComponentInfo{com.roblox.client/com.roblox.client.startup.ActivitySplash} with default display.
11-06,12:02:37.762,1191,4329,W,ActivityTaskManager,ActivityTaskManager:  Can't find TaskDisplayArea to determine support for multi window. Task id=443 attached=false
11-06,12:02:37.763,1191,4329,I,ActivityTaskManager,ActivityTaskManager:  inferVolumetricWindowToken: Looked up volumetric token for display 0 found null
11-06,12:02:37.765,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 174042980; UID 10160; state: DISABLED
11-06,12:02:37.769,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 184838306; UID 10160; state: DISABLED
11-06,12:02:37.773,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 185004937; UID 10160; state: DISABLED
11-06,12:02:37.776,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 181136395; UID 10160; state: DISABLED
11-06,12:02:37.776,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 174042936; UID 10160; state: DISABLED
11-06,12:02:37.778,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 197654537; UID 10160; state: ENABLED
11-06,12:02:37.781,1191,4329,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 168419799; UID 10160; state: DISABLED
11-06,12:02:37.787,1191,1300,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 135634846; UID 10160; state: DISABLED
11-06,12:02:37.787,1191,1300,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 177438394; UID 10160; state: DISABLED
11-06,12:02:37.787,1191,1300,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 135772972; UID 10160; state: DISABLED
11-06,12:02:37.787,1191,1300,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 135754954; UID 10160; state: ENABLED
11-06,12:02:37.788,1191,1309,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 143937733; UID 10160; state: ENABLED
11-06,12:02:37.856,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 71ms so far now at startProcess: done updating battery stats
11-06,12:02:37.856,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 72ms so far now at startProcess: building log message
11-06,12:02:37.857,1191,1309,I,ActivityManager,ActivityManager:  Start proc 20906:com.roblox.client/u0a160 for pre-top-activity {com.roblox.client/com.roblox.client.startup.ActivitySplash}
11-06,12:02:37.857,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 72ms so far now at startProcess: starting to update pids map
11-06,12:02:37.867,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 82ms so far now at startProcess: done updating pids map
11-06,12:02:03.930,0,0,I,binder,binder:  : 20906:20906 ioctl 40046210 7fcc63f374 returned -22
11-06,12:02:03.991,0,0,I,[drm,[drm: dsi_display_set_mode] [msm-dsi-info]: mdp_transfer_time_us=0 us
11-06,12:02:03.991,0,0,I,[drm,[drm: dsi_display_set_mode] [msm-dsi-info]: hactive= 3648 vactive= 1920 fps=72
11-06,12:02:38.021,1191,5822,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar4"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar4 0"" 1280 x 50 modeId 2387 defaultModeId 2387 supportedModes [{id=2387 width=1280 height=50 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:38.024,1191,5822,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1440
11-06,12:02:38.034,1191,5822,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar6"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar6 0"" 1280 x 50 modeId 2389 defaultModeId 2389 supportedModes [{id=2389 width=1280 height=50 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:38.035,1191,5822,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1441
11-06,12:02:04.122,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:04.122,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:38.045,1191,1254,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar5"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-controlbar5 0"" 1280 x 50 modeId 2385 defaultModeId 2385 supportedModes [{id=2385 width=1280 height=50 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:38.046,1191,1254,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1439
11-06,12:02:04.150,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_get_latest_active_request: 780 Active list is empty! ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:04.155,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:04.155,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:04.183,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_get_latest_active_request: 780 Active list is empty! ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:38.241,1191,1191,W,Looper,Looper:  : Slow dispatch took 235ms main h=android.os.Handler c=com.oculus.os.VrFocusManager$VrFocusListenerWrapper$1@b916f6 m=0
11-06,12:02:38.312,1191,1191,W,Looper,Looper:  : Slow delivery took 232ms main h=android.os.Handler c=com.oculus.os.VrFocusManager$VrTopActivityListenerWrapper$1@af03f93 m=0
11-06,12:02:38.333,1191,2493,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 135634846; UID 10082; state: DISABLED
11-06,12:02:38.333,1191,1309,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 143937733; UID 10082; state: ENABLED
11-06,12:02:38.416,2596,2596,D,ViewRootImpl[EventInterceptor],ViewRootImpl[EventInterceptor]:  updatePointerIcon called with position out of bounds
11-06,12:02:38.416,2596,2596,D,ViewRootImpl[EventInterceptor],ViewRootImpl[EventInterceptor]:  updatePointerIcon called with position out of bounds
11-06,12:02:04.449,0,0,I,binder,binder:  : 20906:20974 ioctl 40046210 73fd3fdf14 returned -22
11-06,12:02:04.460,0,0,I,binder,binder:  : 20906:20974 ioctl 40046210 73fd3ffca4 returned -22
11-06,12:02:38.425,1191,1300,W,NotificationHistory,NotificationHistory:  Attempted to remove channel for locked/gone/disabled user 0
11-06,12:02:38.434,1191,1300,V,WindowManager,WindowManager:  Unknown focus tokens dropping reportFocusChanged
11-06,12:02:38.503,1191,1300,D,OculusWindowMgr,OculusWindowMgr:  New focused window: Window{7a36deb u0 com.roblox.client/com.roblox.client.startup.ActivitySplash}
11-06,12:02:38.555,1191,1254,I,ActivityTaskManager,ActivityTaskManager:  START u0 {cmp=com.roblox.client/.ActivityNativeMain (has extras)} from uid 10160
11-06,12:02:38.555,1191,1254,I,ActivityTaskManager,ActivityTaskManager:  inferVolumetricWindowToken: Looked up volumetric token for display 0 found null
11-06,12:02:38.559,1191,1254,W,ActivityTaskManager,ActivityTaskManager:  Duplicate finish request for r=ActivityRecord{9220079 u0 com.roblox.client/.startup.ActivitySplash t443 f}}
11-06,12:02:38.563,1191,1254,W,ActivityTaskManager,ActivityTaskManager:  Tried to set launchTime (0) < mLastActivityLaunchTime (1127538901)
11-06,12:02:38.683,1191,1191,W,Looper,Looper:  : Slow dispatch took 110ms main h=com.android.server.notification.NotificationManagerService$WorkerHandler c=com.android.server.notification.NotificationManagerService$NotificationListeners$$ExternalSyntheticLambda5@854223e m=0
11-06,12:02:38.748,1191,1191,W,Looper,Looper:  : Drained
11-06,12:02:38.915,1191,1254,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-#main 8"" 375 x 188 modeId 2373 defaultModeId 2373 supportedModes [{id=2373 width=375 height=188 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:38.915,1191,1254,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1431
11-06,12:02:38.922,1191,5712,I,DisplayDeviceRepository,"DisplayDeviceRepository:  Display device removed: DisplayDeviceInfo{""com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-portal_overlay"": uniqueId=""virtual:com.oculus.systemux 10013 com.oculus.android_panel_app.AndroidPanelLayer-com.oculus.systemux-portal_overlay 0"" 275 x 334 modeId 2383 defaultModeId 2383 supportedModes [{id=2383 width=275 height=334 fps=60.0 alternativeRefreshRates=[]}] colorMode 0 supportedColorModes [0] hdrCapabilities null allmSupported false gameContentTypeSupported false density 200 200.0 x 200.0 dpi appVsyncOff 0 presDeadline 16666666 touch NONE rotation 0 type VIRTUAL deviceProductInfo null state ON owner com.oculus.systemux (uid 10013) frameRateOverride brightnessMinimum 0.0 brightnessMaximum 0.0 brightnessDefault 0.0 FLAG_PRIVATE FLAG_NEVER_BLANK FLAG_OWN_CONTENT_ONLY}"
11-06,12:02:38.923,1191,5712,I,LogicalDisplayMapper,LogicalDisplayMapper:  Removing display: 1438
11-06,12:02:39.245,1191,2493,W,ActivityManager,ActivityManager:  setIsForegroundPanelService: ComponentInfo{com.oculus.vrshell/com.oculus.panelapp.theaterscreen.TheaterScreenPanelService} not found
11-06,12:02:05.355,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.355,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.383,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_get_latest_active_request: 780 Active list is empty! ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.388,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.388,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:39.416,1191,1300,D,OculusWindowMgr,OculusWindowMgr:  New focused window: Window{c2afc76 u0 com.roblox.client/com.roblox.client.ActivityNativeMain}
11-06,12:02:05.416,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_get_latest_active_request: 780 Active list is empty! ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.422,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.422,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 262400 hw_acquired 1
11-06,12:02:05.501,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.71
11-06,12:02:05.505,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.38
11-06,12:02:05.505,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.26
11-06,12:02:05.505,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.42
11-06,12:02:39.599,1191,1972,W,ActivityManager,ActivityManager:  Permission Denial: Accessing service com.oculus.vrshell/.ShellService from pid=20906 uid=10160 requires com.oculus.vrshell.OVERLAY_HOST
11-06,12:02:39.655,1191,1972,W,ActivityManager,ActivityManager:  Unable to start service Intent { cmp=com.oculus.guardian/com.oculus.vrguardianservice.VrGuardianService } U=0: not found
11-06,12:02:39.656,1191,1972,W,ActivityManager,ActivityManager:  Unable to start service Intent { cmp=com.oculus.guardian/com.oculus.vrguardianservice.VrGuardianUserService } U=0: not found
11-06,12:02:05.783,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Linked as a consumer to regulator.71
11-06,12:02:05.788,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Linked as a consumer to regulator.42
11-06,12:02:05.790,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Linked as a consumer to regulator.26
11-06,12:02:05.791,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Linked as a consumer to regulator.38
11-06,12:02:39.932,1191,1300,I,ActivityManager,ActivityManager:  PendingStartActivityUids startActivity to updateOomAdj delay:1368ms uid:10160
11-06,12:02:39.973,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 1641ms so far now at startProcess: returned from zygote!
11-06,12:02:39.974,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 1641ms so far now at startProcess: done updating battery stats
11-06,12:02:39.974,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 1642ms so far now at startProcess: building log message
11-06,12:02:39.974,1191,1309,I,ActivityManager,ActivityManager:  Start proc 21120:com.android.webview:webview_service/u0a82 for service {com.android.webview/org.chromium.android_webview.services.VariationsSeedServer}
11-06,12:02:39.975,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 1642ms so far now at startProcess: starting to update pids map
11-06,12:02:39.975,1191,1309,W,ActivityManager,ActivityManager:  Slow operation: 1642ms so far now at startProcess: done updating pids map
11-06,12:02:06.138,0,0,I,binder,binder:  : 21120:21120 ioctl 40046210 ffad16a0 returned -22
11-06,12:02:40.319,1191,4329,W,ActivityManager,ActivityManager:  Unable to start service Intent { act=FOREGROUND_CLIENT cmp=com.oculus.guardian/com.oculus.vrguardianservice.VrGuardianUserService (has extras) } U=0: not found
11-06,12:02:40.388,1191,4329,W,ActivityManager,ActivityManager:  Unable to start service Intent { act=FOREGROUND_CLIENT cmp=com.oculus.guardian/com.oculus.vrguardianservice.VrGuardianUserService (has extras) } U=0: not found
11-06,12:02:40.542,1191,3284,D,CompatibilityChangeReporter,CompatibilityChangeReporter:  Compat change id reported: 168419799; UID 10082; state: DISABLED
11-06,12:02:06.565,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: __cam_isp_ctx_stop_dev_in_activated: 6250 DBG: Stop Dev in Activated next state ACQUIRED
11-06,12:02:06.791,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: __cam_isp_ctx_release_hw_in_top_state: 4777 DBG: Release device success[2] next state ACQUIRED RC = 0
11-06,12:02:06.791,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor5: Dropping the link to regulator.71
11-06,12:02:06.794,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor5: Dropping the link to regulator.26
11-06,12:02:06.794,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor5: Dropping the link to regulator.19
11-06,12:02:06.795,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: __cam_isp_ctx_release_dev_in_top_state: 4840 DBG: Release device success[2] next state AVAILABLE RC = 0
11-06,12:02:07.995,0,0,W,healthd,healthd:  : battery l=97 v=4124 t=24.5 h=2 st=4 c=-1635253 fc=5703000 cc=6 chg=u
11-06,12:02:08.055,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_prepare_hw_config: 425 Null Ptr! packet: (null) requestId -1... ctx: id 0 dev_hdl 9699584 hw_acquired 1
11-06,12:02:08.055,0,0,I,CAM_ERR,CAM_ERR:  : CAM-ISP: cam_isp_fpc_apply_req: 604 No available request to apply. ctx: id 0 dev_hdl 9699584 hw_acquired 1
11-06,12:02:08.110,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.71
11-06,12:02:08.112,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.38
11-06,12:02:08.112,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.26
11-06,12:02:08.112,0,0,I,qcom,qcom:  camera ac4f000.qcom cci: qcom cam-sensor4: Dropping the link to regulator.42
